"Sent From:","Amount:","To:","Date"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","1.0000 MOBI","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 23, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0x1051c82d597334a8c55af238a8005fc8bc630e74","Nov 23, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 MOO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 22, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0002 cUSD","0x0cdf34e216dab593f00a95b2a4aab735a1b421fc","Nov 21, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0001 cUSD","0xd533ca259b330c7a88f74e000a3faea2d63b7972","Nov 21, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0010 cUSD","0x7edb6db2bb9cc2b4bf7e867b2c3b0ba74e177ea1","Nov 21, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0010 CELO","0x1051c82d597334a8c55af238a8005fc8bc630e74","Nov 21, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0010 CELO","0x7edb6db2bb9cc2b4bf7e867b2c3b0ba74e177ea1","Nov 21, 2021"
"0x0fd545769a02ee82fbf6c549b7865c893daee3e4","0.0010 CELO","0x1051c82d597334a8c55af238a8005fc8bc630e74","Nov 21, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 20, 2021"
"0x1051c82d597334a8c55af238a8005fc8bc630e74","0.0000 CELO","0x0fd545769a02ee82fbf6c549b7865c893daee3e4","Nov 20, 2021"
